MES_COTIZACION,COD_CLIENTE,COD_SOL,GARANTIA,IMPORTE,PLAZO,TEA_MINIMA,FLG_DESEMBOLSO
1/09/2018,==BBVAPE387701589,==BBVAPE7008465,SIN GARANTIA,40000,48,0.175,1
1/09/2018,==BBVAPE467369697,==BBVAPE7222971,SIN GARANTIA,120000,60,0.1405,0
1/09/2018,==BBVAPE383509281,==BBVAPE7174983,SIN GARANTIA,55100,60,0.185,0
1/09/2018,==BBVAPE389936073,==BBVAPE7133655,SIN GARANTIA,1000,12,0.348,1
1/09/2018,==BBVAPE373393029,==BBVAPE7186125,SIN GARANTIA,10000,48,0.1965,0
1/09/2018,==BBVAPE395440005,==BBVAPE7255083,SIN GARANTIA,23130,7,0.188,1
1/09/2018,==BBVAPE376230585,==BBVAPE7074273,SIN GARANTIA,20000,7,0.188,1
1/09/2018,==BBVAPE390731745,==BBVAPE7370409,SIN GARANTIA,2800,7,0.327,1
1/09/2018,==BBVAPE374232819,==BBVAPE7282479,SIN GARANTIA,3000,24,0.365,1
1/09/2018,==BBVAPE493904631,==BBVAPE7382649,SIN GARANTIA,3000,12,0.3341,0
1/09/2018,==BBVAPE366452229,==BBVAPE7377393,SIN GARANTIA,5000,6,0.2915,1
1/09/2018,==BBVAPE372205443,==BBVAPE7162725,SIN GARANTIA,15000,7,0.188,1
1/09/2018,==BBVAPE375043647,==BBVAPE7262913,SIN GARANTIA,13000,7,0.1975,1
1/09/2018,==BBVAPE451341111,==BBVAPE7247397,SIN GARANTIA,33200,60,0.187,0
1/09/2018,==BBVAPE386570343,==BBVAPE7280913,SIN GARANTIA,18900,48,0.19,1
1/09/2018,==BBVAPE467329269,==BBVAPE7356567,SIN GARANTIA,94490,60,0.1486,1
1/09/2018,==BBVAPE412805163,==BBVAPE7104549,SIN GARANTIA,60000,36,0.18600000000000003,1
1/09/2018,==BBVAPE282938511,==BBVAPE7133817,SIN GARANTIA,1000,12,0.327,0
1/09/2018,==BBVAPE466640283,==BBVAPE7318875,SIN GARANTIA,5400,36,0.302,1
1/09/2018,==BBVAPE372202923,==BBVAPE7363119,SIN GARANTIA,10000,7,0.1955,1
1/09/2018,==BBVAPE383837421,==BBVAPE7241421,SIN GARANTIA,2000,12,0.327,0
1/09/2018,==BBVAPE469409439,==BBVAPE7312377,SIN GARANTIA,10000,24,0.1985,0
1/09/2018,==BBVAPE469409439,==BBVAPE7333347,SIN GARANTIA,10000,24,0.1985,1
1/09/2018,==BBVAPE382205325,==BBVAPE7368789,SIN GARANTIA,60000,60,0.1426,1
1/09/2018,==BBVAPE382475631,==BBVAPE7350465,SIN GARANTIA,55000,60,0.1415,1
1/09/2018,==BBVAPE373592433,==BBVAPE6788973,SIN GARANTIA,106000,60,0.1355,1
1/09/2018,==BBVAPE366516723,==BBVAPE7146237,SIN GARANTIA,8000,24,0.302,0
1/09/2018,==BBVAPE382643103,==BBVAPE7113243,SIN GARANTIA,24200,60,0.19,1
1/09/2018,==BBVAPE382530945,==BBVAPE7175253,SIN GARANTIA,50000,60,0.188,0
1/09/2018,==BBVAPE413862717,==BBVAPE7244697,SIN GARANTIA,83000,60,0.1405,0
1/09/2018,==BBVAPE368072409,==BBVAPE7257549,SIN GARANTIA,60000,36,0.1405,0
1/09/2018,==BBVAPE442623999,==BBVAPE7134267,SIN GARANTIA,20000,24,0.188,1
1/09/2018,==BBVAPE376427667,==BBVAPE7233771,SIN GARANTIA,15800,36,0.18899999999999997,0
1/09/2018,==BBVAPE391479411,==BBVAPE7299651,SIN GARANTIA,10000,36,0.1965,0
1/09/2018,==BBVAPE391479411,==BBVAPE7357935,SIN GARANTIA,10000,24,0.1965,0
1/09/2018,==BBVAPE203535633,==BBVAPE7235913,SIN GARANTIA,50000,48,0.188,1
1/09/2018,==BBVAPE391409229,==BBVAPE7303107,SIN GARANTIA,20000,24,0.175,1
1/09/2018,==BBVAPE373926297,==BBVAPE7347423,SIN GARANTIA,5000,36,0.302,1
1/09/2018,==BBVAPE423681267,==BBVAPE7231539,SIN GARANTIA,21600,48,0.19,0
1/09/2018,==BBVAPE474765897,==BBVAPE7257153,SIN GARANTIA,3000,12,0.3269,1
1/09/2018,==BBVAPE369398469,==BBVAPE7218489,SIN GARANTIA,20000,60,0.165,0
1/09/2018,==BBVAPE427773477,==BBVAPE7083363,SIN GARANTIA,12600,48,0.1985,1
1/09/2018,==BBVAPE369254631,==BBVAPE7101453,SIN GARANTIA,102000,60,0.1405,0
1/09/2018,==BBVAPE442056333,==BBVAPE7313745,SIN GARANTIA,13400,60,0.1985,0
1/09/2018,==BBVAPE378797709,==BBVAPE7101435,SIN GARANTIA,95800,60,0.188,1
1/09/2018,==BBVAPE396036849,==BBVAPE7235895,SIN GARANTIA,2000,6,0.327,1
1/09/2018,==BBVAPE391411209,==BBVAPE7129623,SIN GARANTIA,54500,60,0.187,0
1/09/2018,==BBVAPE391411209,==BBVAPE7169673,SIN GARANTIA,54500,60,0.187,0
1/09/2018,==BBVAPE375232719,==BBVAPE7096341,SIN GARANTIA,50000,47,0.188,1
1/09/2018,==BBVAPE393623391,==BBVAPE7012065,SIN GARANTIA,93300,60,0.1405,0
1/09/2018,==BBVAPE397571133,==BBVAPE6936429,SIN GARANTIA,100400,60,0.1425,1
1/09/2018,==BBVAPE381280575,==BBVAPE7162383,SIN GARANTIA,55700,60,0.1405,1
1/09/2018,==BBVAPE491639655,==BBVAPE7271319,SIN GARANTIA,5300,36,0.302,0
1/09/2018,==BBVAPE394654539,==BBVAPE7265667,SIN GARANTIA,5000,24,0.302,1
1/09/2018,==BBVAPE442624611,==BBVAPE7335687,SIN GARANTIA,15000,36,0.19,1
1/09/2018,==BBVAPE378782013,==BBVAPE7328271,SIN GARANTIA,20000,48,0.188,1
1/09/2018,==BBVAPE495578865,==BBVAPE7096863,SIN GARANTIA,38900,60,0.18899999999999997,1
1/09/2018,==BBVAPE397709535,==BBVAPE6983229,SIN GARANTIA,87000,60,0.1405,0
1/09/2018,==BBVAPE387939657,==BBVAPE7150485,DINERARIA,1000,12,0.327,1
1/09/2018,==BBVAPE367617963,==BBVAPE7143177,SIN GARANTIA,73000,36,0.18600000000000003,0
1/09/2018,==BBVAPE378100389,==BBVAPE7133979,SIN GARANTIA,20000,24,0.205,0
1/09/2018,==BBVAPE378100389,==BBVAPE7138137,DINERARIA,20000,24,0.165,0
1/09/2018,==BBVAPE406722675,==BBVAPE7093515,SIN GARANTIA,40000,60,0.18899999999999997,0
1/09/2018,==BBVAPE498441585,==BBVAPE7105593,SIN GARANTIA,1000,12,0.327,0
1/09/2018,==BBVAPE498441585,==BBVAPE7133745,SIN GARANTIA,1000,12,0.327,1
1/09/2018,==BBVAPE403166001,==BBVAPE7228749,SIN GARANTIA,15000,36,0.187,1
1/09/2018,==BBVAPE494861619,==BBVAPE7114359,SIN GARANTIA,5000,24,0.295,0
1/09/2018,==BBVAPE382702449,==BBVAPE7111317,SIN GARANTIA,12600,36,0.1975,1
1/09/2018,==BBVAPE250665393,==BBVAPE7312323,SIN GARANTIA,50000,60,0.188,0
1/09/2018,==BBVAPE409178469,==BBVAPE7129839,SIN GARANTIA,3000,12,0.3269,1
1/09/2018,==BBVAPE422254947,==BBVAPE6918393,SIN GARANTIA,15000,36,0.19,1
1/09/2018,==BBVAPE373852101,==BBVAPE7204341,SIN GARANTIA,46300,60,0.175,0
1/09/2018,==BBVAPE373852101,==BBVAPE7245435,SIN GARANTIA,46000,60,0.175,1
1/09/2018,==BBVAPE96314745,==BBVAPE7265793,DINERARIA,45000,36,0.175,0
1/09/2018,==BBVAPE96314745,==BBVAPE7284441,DINERARIA,31000,36,0.175,1
1/09/2018,==BBVAPE405559497,==BBVAPE7203747,SIN GARANTIA,3000,12,0.327,1
1/09/2018,==BBVAPE387999615,==BBVAPE7243689,SIN GARANTIA,18300,60,0.187,0
1/09/2018,==BBVAPE370202223,==BBVAPE7208067,SIN GARANTIA,5000,12,0.295,0
1/09/2018,==BBVAPE371328663,==BBVAPE7105161,SIN GARANTIA,50000,48,0.1486,1
1/09/2018,==BBVAPE379743087,==BBVAPE7109409,SIN GARANTIA,10600,60,0.1985,0
1/09/2018,==BBVAPE374911491,==BBVAPE7338225,SIN GARANTIA,30000,24,0.18600000000000003,1
1/09/2018,==BBVAPE371235495,==BBVAPE7283343,SIN GARANTIA,25300,60,0.188,1
1/09/2018,==BBVAPE415523271,==BBVAPE7288581,SIN GARANTIA,10000,36,0.1965,0
1/09/2018,==BBVAPE368259321,==BBVAPE7189059,SIN GARANTIA,120000,60,0.1355,1
1/09/2018,==BBVAPE496747209,==BBVAPE7227795,SIN GARANTIA,20000,36,0.19,0
1/09/2018,==BBVAPE386219505,==BBVAPE7327749,SIN GARANTIA,120000,60,0.1405,0
1/09/2018,==BBVAPE480196731,==BBVAPE7164273,SIN GARANTIA,20000,48,0.19,0
1/09/2018,==BBVAPE387466077,==BBVAPE7142781,SIN GARANTIA,17000,36,0.188,1
1/09/2018,==BBVAPE414826347,==BBVAPE7346415,SIN GARANTIA,15000,60,0.19,1
1/09/2018,==BBVAPE362403003,==BBVAPE7089609,SIN GARANTIA,105000,60,0.1405,0
1/09/2018,==BBVAPE487297551,==BBVAPE7234059,SIN GARANTIA,1000,12,0.3341,1
1/09/2018,==BBVAPE383507373,==BBVAPE7128435,SIN GARANTIA,29990,30,0.175,0
1/09/2018,==BBVAPE383507373,==BBVAPE7159071,SIN GARANTIA,29900,36,0.175,0
1/09/2018,==BBVAPE383507373,==BBVAPE7173183,SIN GARANTIA,29900,36,0.175,0
1/09/2018,==BBVAPE409652931,==BBVAPE7347585,SIN GARANTIA,12300,60,0.165,1
1/09/2018,==BBVAPE363324585,==BBVAPE7363227,SIN GARANTIA,27000,36,0.166,1
1/09/2018,==BBVAPE371956575,==BBVAPE7227417,SIN GARANTIA,10000,36,0.1975,0
1/09/2018,==BBVAPE371956575,==BBVAPE7295349,SIN GARANTIA,10000,36,0.1975,0
1/09/2018,==BBVAPE183059013,==BBVAPE7062321,SIN GARANTIA,40000,60,0.18899999999999997,1
1/09/2018,==BBVAPE364590201,==BBVAPE7323933,SIN GARANTIA,20000,36,0.187,0
1/09/2018,==BBVAPE403574943,==BBVAPE7188285,SIN GARANTIA,15000,36,0.19,0
1/09/2018,==BBVAPE403574943,==BBVAPE7266747,SIN GARANTIA,8000,36,0.302,1
1/09/2018,==BBVAPE233745717,==BBVAPE7178745,SIN GARANTIA,4000,24,0.3341,1
1/09/2018,==BBVAPE383097603,==BBVAPE7188501,SIN GARANTIA,1000,7,0.21,1
1/09/2018,==BBVAPE367526127,==BBVAPE7222521,SIN GARANTIA,6300,51,0.21,0
1/09/2018,==BBVAPE62971851,==BBVAPE7266567,SIN GARANTIA,120000,60,0.1355,0
1/09/2018,==BBVAPE107918013,==BBVAPE7315941,SIN GARANTIA,71100,60,0.185,0
1/09/2018,==BBVAPE392202039,==BBVAPE7151745,SIN GARANTIA,20000,12,0.19,0
1/09/2018,==BBVAPE397579143,==BBVAPE7197321,DINERARIA,110000,120,0.1425,0
1/09/2018,==BBVAPE397579143,==BBVAPE7336281,SIN GARANTIA,90700,60,0.1405,0
1/09/2018,==BBVAPE426986445,==BBVAPE7347027,SIN GARANTIA,57500,60,0.18600000000000003,0
1/09/2018,==BBVAPE420992805,==BBVAPE7144023,SIN GARANTIA,50000,60,0.187,1
1/09/2018,==BBVAPE382150155,==BBVAPE7157217,SIN GARANTIA,10000,12,0.1985,0
1/09/2018,==BBVAPE395767047,==BBVAPE7158603,SIN GARANTIA,53900,60,0.1486,0
1/09/2018,==BBVAPE386486463,==BBVAPE7278339,SIN GARANTIA,5000,24,0.2915,1
1/09/2018,==BBVAPE374731527,==BBVAPE7282173,SIN GARANTIA,8000,18,0.2925,1
1/09/2018,==BBVAPE365078523,==BBVAPE7275099,SIN GARANTIA,10000,24,0.1985,1
1/09/2018,==BBVAPE397914105,==BBVAPE7137381,SIN GARANTIA,10000,18,0.251,0
1/09/2018,==BBVAPE494302593,==BBVAPE7107843,SIN GARANTIA,20000,24,0.24600000000000002,0
1/09/2018,==BBVAPE383916531,==BBVAPE7284081,SIN GARANTIA,49900,36,0.165,1
1/09/2018,==BBVAPE432674193,==BBVAPE7318803,SIN GARANTIA,100000,60,0.146,0
1/09/2018,==BBVAPE386701473,==BBVAPE7122279,SIN GARANTIA,17000,18,0.188,1
1/09/2018,==BBVAPE418843479,==BBVAPE7347351,SIN GARANTIA,50000,60,0.1415,0
1/09/2018,==BBVAPE495589305,==BBVAPE7136031,SIN GARANTIA,2500,36,0.36700000000000005,0
1/09/2018,==BBVAPE385975119,==BBVAPE7316193,SIN GARANTIA,60800,60,0.187,0
1/09/2018,==BBVAPE480033435,==BBVAPE7114611,SIN GARANTIA,3300,36,0.3341,1
1/09/2018,==BBVAPE93275913,==BBVAPE7210191,SIN GARANTIA,22000,60,0.188,0
1/09/2018,==BBVAPE365921517,==BBVAPE7185333,SIN GARANTIA,130000,60,0.1395,0
1/09/2018,==BBVAPE402838941,==BBVAPE7172247,SIN GARANTIA,104600,60,0.187,0
1/09/2018,==BBVAPE181974477,==BBVAPE7105071,SIN GARANTIA,100000,36,0.1405,1
1/09/2018,==BBVAPE412034925,==BBVAPE7351041,SIN GARANTIA,30000,60,0.18600000000000003,1
1/09/2018,==BBVAPE70919985,==BBVAPE7267935,SIN GARANTIA,6000,24,0.317,0
1/09/2018,==BBVAPE377912109,==BBVAPE7260087,SIN GARANTIA,14700,60,0.1985,1
1/09/2018,==BBVAPE388850997,==BBVAPE7174101,SIN GARANTIA,20400,48,0.19,0
1/09/2018,==BBVAPE467651577,==BBVAPE7186593,DINERARIA,15000,36,0.165,1
1/09/2018,==BBVAPE494696145,==BBVAPE7151565,SIN GARANTIA,65000,60,0.187,0
1/09/2018,==BBVAPE501885129,==BBVAPE7389075,SIN GARANTIA,35000,48,0.18899999999999997,0
1/09/2018,==BBVAPE372196083,==BBVAPE7322493,SIN GARANTIA,70000,18,0.1405,1
1/09/2018,==BBVAPE205541697,==BBVAPE7207365,SIN GARANTIA,58000,60,0.188,1
1/09/2018,==BBVAPE372292959,==BBVAPE7267305,SIN GARANTIA,14600,36,0.1985,0
1/09/2018,==BBVAPE445844343,==BBVAPE7148865,SIN GARANTIA,66500,60,0.18600000000000003,0
1/09/2018,==BBVAPE365781207,==BBVAPE7218345,SIN GARANTIA,15000,24,0.19,1
1/09/2018,==BBVAPE501039813,==BBVAPE7308633,SIN GARANTIA,24900,60,0.188,1
1/09/2018,==BBVAPE250392927,==BBVAPE7221999,SIN GARANTIA,8000,24,0.295,0
1/09/2018,==BBVAPE370777107,==BBVAPE7164291,DINERARIA,20000,36,0.175,0
1/09/2018,==BBVAPE422295807,==BBVAPE7184019,SIN GARANTIA,13300,36,0.1985,0
1/09/2018,==BBVAPE233371623,==BBVAPE7334553,SIN GARANTIA,60800,60,0.188,0
1/09/2018,==BBVAPE433645905,==BBVAPE7089501,SIN GARANTIA,100000,60,0.187,0
1/09/2018,==BBVAPE430485393,==BBVAPE7079673,SIN GARANTIA,14500,36,0.1985,1
1/09/2018,==BBVAPE367056255,==BBVAPE6806847,NO DINERARIA,120000,60,0.151,0
1/09/2018,==BBVAPE425628237,==BBVAPE7146129,SIN GARANTIA,3000,12,0.327,0
1/09/2018,==BBVAPE495502437,==BBVAPE7250511,SIN GARANTIA,5000,18,0.335,0
1/09/2018,==BBVAPE420487563,==BBVAPE7388787,SIN GARANTIA,3800,36,0.3341,1
1/09/2018,==BBVAPE365797371,==BBVAPE7306329,SIN GARANTIA,3500,12,0.348,0
1/09/2018,==BBVAPE373364751,==BBVAPE7203315,SIN GARANTIA,37300,36,0.18899999999999997,0
1/09/2018,==BBVAPE60018681,==BBVAPE7135149,SIN GARANTIA,69300,60,0.1415,0
1/09/2018,==BBVAPE395708907,==BBVAPE7216887,SIN GARANTIA,20000,48,0.19,1
1/09/2018,==BBVAPE379855515,==BBVAPE7309227,SIN GARANTIA,150000,60,0.1355,1
1/09/2018,==BBVAPE218933535,==BBVAPE7186017,NO DINERARIA,130000,60,0.196,0
1/09/2018,==BBVAPE218933535,==BBVAPE7302387,NO DINERARIA,130000,60,0.18600000000000003,0
1/09/2018,==BBVAPE361935399,==BBVAPE7310217,SIN GARANTIA,40000,60,0.165,0
1/09/2018,==BBVAPE378922413,==BBVAPE7081617,SIN GARANTIA,10000,10,0.1985,0
1/09/2018,==BBVAPE380653455,==BBVAPE7169277,SIN GARANTIA,84000,60,0.188,0
1/09/2018,==BBVAPE391738017,==BBVAPE7133025,SIN GARANTIA,92000,60,0.188,0
1/09/2018,==BBVAPE369046587,==BBVAPE7205817,SIN GARANTIA,20000,60,0.187,1
1/09/2018,==BBVAPE394300659,==BBVAPE7161573,SIN GARANTIA,15000,36,0.19,1
1/09/2018,==BBVAPE499308537,==BBVAPE7256775,SIN GARANTIA,50000,60,0.168,1
1/09/2018,==BBVAPE448522293,==BBVAPE7255515,SIN GARANTIA,10400,36,0.1975,1
1/09/2018,==BBVAPE388461819,==BBVAPE7381551,SIN GARANTIA,17400,60,0.19,0
1/09/2018,==BBVAPE490575765,==BBVAPE7187385,SIN GARANTIA,30000,36,0.188,0
1/09/2018,==BBVAPE469396317,==BBVAPE7098879,NO DINERARIA,1000,6,0.366,1
1/09/2018,==BBVAPE379682445,==BBVAPE7276449,SIN GARANTIA,11900,36,0.1985,1
1/09/2018,==BBVAPE21868113,==BBVAPE7245165,SIN GARANTIA,5000,12,0.2915,0
1/09/2018,==BBVAPE219217287,==BBVAPE7100481,SIN GARANTIA,10000,24,0.1955,0
1/09/2018,==BBVAPE219217287,==BBVAPE7235679,SIN GARANTIA,20000,36,0.187,1
1/09/2018,==BBVAPE404639265,==BBVAPE7146795,DINERARIA,2700,12,0.327,1
1/09/2018,==BBVAPE381510183,==BBVAPE7122657,SIN GARANTIA,50000,36,0.1355,0
1/09/2018,==BBVAPE373845693,==BBVAPE7128615,SIN GARANTIA,5000,24,0.2925,0
1/09/2018,==BBVAPE371209881,==BBVAPE7301073,SIN GARANTIA,3500,24,0.3341,1
1/09/2018,==BBVAPE364475973,==BBVAPE7360995,SIN GARANTIA,30000,48,0.18899999999999997,1
1/09/2018,==BBVAPE153985539,==BBVAPE7083039,SIN GARANTIA,3000,6,0.3341,1
1/09/2018,==BBVAPE211688967,==BBVAPE7272129,SIN GARANTIA,80000,60,0.1405,0
1/09/2018,==BBVAPE395193369,==BBVAPE6759165,SIN GARANTIA,100000,50,0.187,1
1/09/2018,==BBVAPE396854679,==BBVAPE7300101,NO DINERARIA,50000,36,0.23399999999999999,1
1/09/2018,==BBVAPE449894109,==BBVAPE7118193,SIN GARANTIA,10000,24,0.1985,0
1/09/2018,==BBVAPE116704443,==BBVAPE7099491,DINERARIA,3000,10,0.327,1
1/09/2018,==BBVAPE387224769,==BBVAPE7264011,SIN GARANTIA,28000,24,0.188,0
1/09/2018,==BBVAPE387224769,==BBVAPE7265883,SIN GARANTIA,28000,24,0.188,0
1/09/2018,==BBVAPE387224769,==BBVAPE7311351,SIN GARANTIA,28000,24,0.18600000000000003,0
1/09/2018,==BBVAPE412008195,==BBVAPE7100877,SIN GARANTIA,28000,36,0.166,0
1/09/2018,==BBVAPE386772573,==BBVAPE7186773,SIN GARANTIA,96300,60,0.1415,1
1/09/2018,==BBVAPE376514661,==BBVAPE7189779,SIN GARANTIA,32000,60,0.18899999999999997,0
1/09/2018,==BBVAPE376514661,==BBVAPE7224087,SIN GARANTIA,32000,60,0.18899999999999997,0
1/09/2018,==BBVAPE495403419,==BBVAPE7269033,SIN GARANTIA,9900,36,0.302,1
1/09/2018,==BBVAPE250664277,==BBVAPE7302657,SIN GARANTIA,58000,60,0.1405,0
1/09/2018,==BBVAPE126474645,==BBVAPE7307067,SIN GARANTIA,5000,6,0.2925,0
1/09/2018,==BBVAPE370993647,==BBVAPE7386663,SIN GARANTIA,27200,48,0.188,1
1/09/2018,==BBVAPE367165191,==BBVAPE7043709,SIN GARANTIA,51974,56,0.187,1
1/09/2018,==BBVAPE387771573,==BBVAPE7209687,SIN GARANTIA,5000,12,0.2915,1
1/09/2018,==BBVAPE368193063,==BBVAPE7210821,SIN GARANTIA,25000,36,0.165,0
1/09/2018,==BBVAPE372621639,==BBVAPE7277547,SIN GARANTIA,107100,60,0.1355,0
1/09/2018,==BBVAPE30424521,==BBVAPE7094649,SIN GARANTIA,67550,60,0.1405,0
1/09/2018,==BBVAPE101779401,==BBVAPE7146147,SIN GARANTIA,5000,6,0.2915,0
1/09/2018,==BBVAPE382001385,==BBVAPE7265415,SIN GARANTIA,50000,36,0.188,0
1/09/2018,==BBVAPE380534943,==BBVAPE7148685,SIN GARANTIA,60000,60,0.187,0
1/09/2018,==BBVAPE437191311,==BBVAPE7384233,SIN GARANTIA,5000,12,0.2925,0
1/09/2018,==BBVAPE90687999,==BBVAPE7177323,SIN GARANTIA,2000,12,0.36700000000000005,0
1/09/2018,==BBVAPE397028649,==BBVAPE7341321,SIN GARANTIA,23300,60,0.19,0
1/09/2018,==BBVAPE367596201,==BBVAPE7358385,SIN GARANTIA,8000,24,0.2915,0
1/09/2018,==BBVAPE379648623,==BBVAPE7100787,SIN GARANTIA,6300,24,0.302,0
1/09/2018,==BBVAPE383786571,==BBVAPE7125087,NO DINERARIA,100000,120,0.184,0
1/09/2018,==BBVAPE52602159,==BBVAPE7275801,SIN GARANTIA,4000,18,0.327,1
1/09/2018,==BBVAPE384696111,==BBVAPE7335777,DINERARIA,35000,36,0.165,0
1/09/2018,==BBVAPE425650719,==BBVAPE7378239,DINERARIA,10000,24,0.1965,1
1/09/2018,==BBVAPE39921321,==BBVAPE7192983,SIN GARANTIA,63500,60,0.1426,0
1/09/2018,==BBVAPE242464143,==BBVAPE7149567,SIN GARANTIA,109000,60,0.187,0
1/09/2018,==BBVAPE426216783,==BBVAPE7210389,SIN GARANTIA,30000,36,0.165,1
1/09/2018,==BBVAPE89410089,==BBVAPE7355397,DINERARIA,1000,6,0.327,1
1/09/2018,==BBVAPE73912323,==BBVAPE7094271,DINERARIA,700000,120,0.129,1
1/09/2018,==BBVAPE73912323,==BBVAPE7178169,DINERARIA,650000,60,0.129,0
1/09/2018,==BBVAPE136886043,==BBVAPE7194171,NO DINERARIA,600000,120,0.1415,0
1/09/2018,==BBVAPE136886043,==BBVAPE7376115,NO DINERARIA,600000,120,0.1415,1
1/09/2018,==BBVAPE24232179,==BBVAPE7189617,DINERARIA,3000,15,0.183,1
1/09/2018,==BBVAPE376263705,==BBVAPE7311729,SIN GARANTIA,30000,36,0.175,1
